,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"1995","04","아메리카","미국","31,138","10.44","21,872","11.69","3,757","23.47","1,886","72.68","34","12.83","3,589","3.89"
"1995","04","아메리카","캐나다","2,954","0.99","2,454","1.31","61","0.38","4","0.15","5","1.89","430","0.47"
"1995","04","아메리카","브라질","652","0.22","511","0.27","7","0.04","0","0.00","0","0.00","134","0.15"
"1995","04","아메리카","멕시코","254","0.09","129","0.07","5","0.03","0","0.00","0","0.00","120","0.13"
"1995","04","아메리카","아메리카 기타","1,643","0.55","683","0.36","34","0.21","8","0.31","2","0.75","916","0.99"
"1995","04","아메리카 소계","","36,641","12.29","25,649","13.70","3,864","24.14","1,898","73.14","41","15.47","5,189","5.63"
"1995","04","유럽","러시아","13,611","4.56","2,571","1.37","839","5.24","11","0.42","8","3.02","10,182","11.05"
"1995","04","유럽","영국","4,088","1.37","3,070","1.64","142","0.89","1","0.04","5","1.89","870","0.94"
"1995","04","유럽","독일","5,762","1.93","4,337","2.32","208","1.30","21","0.81","4","1.51","1,192","1.29"
"1995","04","유럽","프랑스","2,115","0.71","1,654","0.88","83","0.52","30","1.16","2","0.75","346","0.38"
"1995","04","유럽","이탈리아","1,049","0.35","911","0.49","21","0.13","3","0.12","0","0.00","114","0.12"
"1995","04","유럽","네덜란드","1,195","0.40","791","0.42","29","0.18","2","0.08","0","0.00","373","0.40"
"1995","04","유럽","우크라이나","684","0.23","171","0.09","17","0.11","0","0.00","0","0.00","496","0.54"
"1995","04","유럽","스페인","384","0.13","269","0.14","1","0.01","1","0.04","0","0.00","113","0.12"
"1995","04","유럽","루마니아","289","0.10","28","0.01","51","0.32","0","0.00","1","0.38","209","0.23"
"1995","04","유럽","노르웨이","653","0.22","341","0.18","18","0.11","0","0.00","0","0.00","294","0.32"
"1995","04","유럽","스웨덴","642","0.22","490","0.26","23","0.14","0","0.00","0","0.00","129","0.14"
"1995","04","유럽","폴란드","2,062","0.69","1,027","0.55","1","0.01","0","0.00","1","0.38","1,033","1.12"
"1995","04","유럽","스위스","772","0.26","613","0.33","14","0.09","1","0.04","1","0.38","143","0.16"
"1995","04","유럽","포르투갈","291","0.10","238","0.13","2","0.01","0","0.00","0","0.00","51","0.06"
